Paper,Authors,Year of publication,Year of announcement,Venue,Awarded By
A Digital Fountain Approach to Reliable Distribution of Bulk Data,"John Byers, Michael Luby, Michael Mitzenmacher, and Ashutosh Rege",1998,2009,ACM SIGCOMM,SIGCOMM
Internet Routing Instability,"Craig Labovitz, G. Robert Malan, and Farnam Jahanian",1997,2008,ACM SIGCOMM,SIGCOMM
The Macroscopic Behavior of the TCP Congestion Avoidance Algorithm,"Matthew Mathis, Jeffrey Semke, Jamshid Mahdavi, and Teunis Ott",1997,2007,CCR,SIGCOMM
Modeling TCP Throughput:  A Simple Model and Its Empirical Validation,"Jitendra Padhye, Victor Firoiu, Don Towsley, and Jim Kurose",1998,2007,ACM SIGCOMM,SIGCOMM
Towards an Active Network Architecture,David L. Tennenhouse and David J. Wetherall,1996,2007,CCR,SIGCOMM
End-to-End Routing Behavior in the Internet,Vern Paxson,1996,2006,ACM SIGCOMM,SIGCOMM
Research Areas in Computer Communication,L. Kleinrock,1974,2006,ACM SIGCOMM,SIGCOMM
Nomadic Computing - An Opportunity,L. Kleinrock,,2006,ACM SIGCOMM,SIGCOMM
The ALOHA system,F.F Kuo,1974,2006,ACM SIGCOMM,SIGCOMM
"Selecting Sequence Numbers,",R. S. Tomlinson,1975,2006,ACM SIGCOMM/SIGOPS Interprocess Communications Workshop,SIGCOMM
An Overview of the New Routing Algorithm for the ARPANET,"J. M. McQuillan, I. Richter, E. C. Rosen",1979,2006,Sixth Data Comm.Symposium,SIGCOMM
Congestion Control in IP/TCP Internetworks,J. Nagle,1984,2006,ACM SIGCOMM,SIGCOMM
Improving Round-Trip Time Estimates in Reliable Transport Protocols,"P. Karn, C. Partridge",1987,2006,SIGCOMM,SIGCOMM
Fragmentation Considered Harmful,"C. A. Kent, J. C. Mogul ",1987,2006,SIGCOMM,SIGCOMM
Multicast Routing in Internetworks and Extended LANs,S. Deering,1988,2006,SIGCOMM,SIGCOMM
The Design Philosophy of the DARPA Internet Procotols,D. D. Clark,1988,2006,SIGCOMM,SIGCOMM
Development of the Domain Name System,"P. V. Mockapetris, K. J. Dunlap",1988,2006,SIGCOMM,SIGCOMM
Measured Capacity of an Ethernet: Myths and Reality,"D. R. Boggs, J. C. Mogul, C. A. Kent",1988,2006,SIGCOMM,SIGCOMM
A Binary Feedback Scheme for Congestion Avoidance in Computer Networks with a Connectionless Network Layer,"K. K. Ramakrishnan, R. Jain",1988,2006,SIGCOMM,SIGCOMM
Congestion Avoidance and Control,V. Jacobson,1988,2006,SIGCOMM,SIGCOMM
Analysis and Simulation of a Fair Queueing Algorithm,"A. Demers, S. Keshav, S. Shenker",1989,2006,SIGCOMM,SIGCOMM
A Control-Theoretic Approach to Flow Control,S. Keshav,1991,2006,SIGCOMM,SIGCOMM
On the Self-Similar Nature of Ethernet Traffic,"W. E. Leland, M. S. Taqqu, W. Willinger, D. V. Wilson",1993,2006,SIGCOMM,SIGCOMM
